soil_type,region,crop_name,variety,suitability_score,notes
Sandy loam,Bayaluseeme,Redgram,Maruti,9,"Popular variety, good yield, suitable for sole cropping"
Black soil,Northern Karnataka,Blackgram,T-9,8,"Short duration variety, suitable for rabi season, good dal quality"
Black soil,Northern Karnataka,Blackgram,LBG-752,7,"Disease resistant, suitable for kharif season, uniform maturity"
Sandy loam,Bayaluseeme,Blackgram,Rashmi,8,"High yielding, suitable for summer season, determinate type"
Red soil,Bayaluseeme,Blackgram,PU-31,7,"Local variety, good adaptation, suitable for intercropping"
Sandy loam,Bayaluseeme,Greengram,Chinamung,8,"Short duration variety, suitable for summer season, good protein"
Sandy loam,Bayaluseeme,Greengram,K-851,7,"High yielding, suitable for kharif season, uniform maturity"
Black soil,Northern Karnataka,Greengram,PDM-139,8,"Disease resistant, suitable for 400-500mm rainfall"
Red soil,Bayaluseeme,Greengram,CO-4,7,"Good for intercropping, suitable for rainfed conditions"
Red soil,Bayaluseeme,Horsegram,PHG-9,8,"Drought tolerant, suitable for 400-500mm rainfall, high protein"
Red soil,Bayaluseeme,Horsegram,VL-Gahat-10,7,"Hill variety, good adaptation, suitable for marginal lands"
Sandy loam,Bayaluseeme,Horsegram,GPU-4,8,"Good grain yield, suitable for rainfed cultivation"
Black soil,Northern Karnataka,Horsegram,Paiyur-2,7,"Local variety, good fodder value, drought resistant"
Black soil,Northern Karnataka,Fieldpea,Rachna,8,"Good pod yield, suitable for rabi season, climbing type"
Black soil,Northern Karnataka,Fieldpea,HUP-2,7,"Dwarf variety, suitable for 400-500mm rainfall, good protein"
Sandy loam,Bayaluseeme,Fieldpea,HUDP-15,8,"High yielding, suitable for garden land cultivation"
Red soil,Bayaluseeme,Cowpea,Kanakamony,8,"Good grain yield, suitable for 500-600mm rainfall, dual purpose"
Red soil,Bayaluseeme,Cowpea,Lola,7,"Vegetable type, suitable for kitchen garden, tender pods"
Sandy loam,Bayaluseeme,Cowpea,V-16,8,"Fodder type, suitable for green manuring, nitrogen fixing"
Black soil,Northern Karnataka,Cowpea,Pusa-578,7,"Good adaptation, suitable for kharif season"
Red soil,Malnad,Turmeric,Sudarshana,9,"High curcumin content, suitable for 1000-1500mm rainfall, finger type"
Red soil,Malnad,Turmeric,Suguna,8,"Good recovery, suitable for hill zones, round type"
Sandy loam,Bayaluseeme,Turmeric,Rajendra Sonia,7,"Good color, suitable for plains, medium duration"
Clay,Malnad,Turmeric,Co-2,8,"High yielding, suitable for irrigated conditions"
Sandy loam,Bayaluseeme,Bitter Gourd,Coimbatore Long,8,"Good fruit length, suitable for 600-700mm rainfall"
Sandy loam,Bayaluseeme,Bitter Gourd,Priya,7,"Hybrid variety, good yield, disease resistant"
Red soil,Bayaluseeme,Bitter Gourd,Arka Harit,8,"Green type, good keeping quality, suitable for market"
Sandy loam,Bayaluseeme,Bottle Gourd,Arka Bahar,8,"Good fruit size, suitable for vegetable purpose"
Sandy loam,Bayaluseeme,Bottle Gourd,Pusa Naveen,7,"Long fruited, suitable for 500-600mm rainfall"
Red soil,Bayaluseeme,Bottle Gourd,Local Long,7,"Traditional variety, good adaptation, dual purpose"
Sandy loam,Bayaluseeme,Pumpkin,Arka Suryamukhi,8,"Good fruit weight, suitable for 600-700mm rainfall"
Sandy loam,Bayaluseeme,Pumpkin,CO-1,7,"High yielding, suitable for plains, good keeping quality"
Red soil,Bayaluseeme,Pumpkin,Local,7,"Traditional variety, good taste, suitable for rainfed"
Sandy loam,Bayaluseeme,Muskmelon,Arka Jeet,8,"Good sugar content, suitable for 400-500mm rainfall"
Sandy loam,Bayaluseeme,Muskmelon,Punjab Sunehri,7,"Good aroma, suitable for table purpose"
Black soil,Northern Karnataka,Muskmelon,Hara Madhu,8,"Green fleshed, good keeping quality"
Red soil,Malnad,Citrus,Coorg Orange,8,"Local variety, good juice content, suitable for 1000-1200mm rainfall"
Red soil,Malnad,Citrus,Nagpur Santra,7,"Good quality, suitable for hill conditions"
Sandy loam,Bayaluseeme,Citrus,Mosambi,8,"Sweet lime, good for juice, suitable for 600-800mm rainfall"
Lateritic,Coastal,Citrus,Kagzi Lime,7,"Good for pickle, suitable for coastal belt"
Black soil,Northern Karnataka,Citrus,Lemon,8,"Good citric acid content, suitable for 500-700mm rainfall"
Red soil,Bayaluseeme,Fig,Poona,8,"Good fruit quality, suitable for 600-800mm rainfall"
Red soil,Bayaluseeme,Fig,Dinkar,7,"Large fruited, suitable for table purpose"
Sandy loam,Bayaluseeme,Fig,Brown Turkey,8,"Good adaptation, suitable for dry conditions"
Red soil,Bayaluseeme,Carrot,Pusa Kesar,9,"Deep orange color, suitable for 500-700mm rainfall, high carotene"
Red soil,Bayaluseeme,Carrot,Nantes,8,"Sweet variety, suitable for table purpose, smooth texture"
Sandy loam,Bayaluseeme,Beetroot,Crimson Globe,8,"Uniform shape, suitable for 500-600mm rainfall, good color"
Sandy loam,Bayaluseeme,Beetroot,Detroit Dark Red,7,"Deep red color, suitable for processing, good yield"
Sandy loam,Bayaluseeme,Cabbage,Golden Acre,9,"Early variety, suitable for 600-700mm rainfall, compact head"
Sandy loam,Bayaluseeme,Cabbage,Pride of India,8,"Large head, suitable for market, good keeping quality"
Red soil,Bayaluseeme,Cauliflower,Pusa Snowball,8,"White curd, suitable for winter season, good quality"
Red soil,Bayaluseeme,Cauliflower,Early Kunwari,7,"Early variety, suitable for market, good size"
Sandy loam,Bayaluseeme,Radish,Pusa Chetki,8,"Quick growing, suitable for 400-500mm rainfall, crisp texture"
Sandy loam,Bayaluseeme,Radish,Japanese White,7,"Long type, suitable for table purpose, mild flavor"
Red soil,Bayaluseeme,French Bean,Contender,9,"Bush type, suitable for 600-700mm rainfall, stringless pods"
Red soil,Bayaluseeme,French Bean,Pusa Parvati,8,"Pole type, suitable for trellising, good yield"
Sandy loam,Bayaluseeme,Cluster Bean,Pusa Navbahar,8,"Tender pods, suitable for 500-600mm rainfall, good quality"
Sandy loam,Bayaluseeme,Cluster Bean,Pusa Sadabahar,7,"Long duration, suitable for multiple picking"
Red soil,Malnad,Strawberry,Winter Dawn,9,"Good flavor, suitable for 800-1000mm rainfall, red color"
Red soil,Malnad,Strawberry,Chandler,8,"Large fruit, suitable for hill zones, good yield"
Lateritic,Coastal,Dragon Fruit,White Flesh,8,"Exotic fruit, suitable for 1000-1500mm rainfall, climbing cactus"
Lateritic,Coastal,Dragon Fruit,Red Flesh,9,"Attractive color, suitable for coastal conditions, good market value"
Red soil,Malnad,Avocado,Hass,9,"Buttery texture, suitable for 1200-1500mm rainfall, high oil content"
Red soil,Malnad,Avocado,Fuerte,8,"Green skin, suitable for hill conditions, good size"
Sandy loam,Bayaluseeme,Sweet Corn,Sugar-75,9,"High sugar content, suitable for 600-700mm rainfall, good taste"
Sandy loam,Bayaluseeme,Sweet Corn,Madhuri,8,"Yellow kernels, suitable for table purpose, good yield"
Red soil,Bayaluseeme,Spinach,All Green,8,"Dark green leaves, suitable for 500-600mm rainfall, high iron"
Red soil,Bayaluseeme,Spinach,Pusa Jyoti,7,"Quick growing, suitable for multiple cutting, good nutrition"
Sandy loam,Bayaluseeme,Capsicum,California Wonder,9,"Bell type, suitable for 600-700mm rainfall, thick flesh"
Sandy loam,Bayaluseeme,Capsicum,Indra,8,"Hybrid variety, suitable for protected cultivation, good yield"
Red soil,Malnad,Kiwi,Hayward,8,"Good flavor, suitable for 1200-1500mm rainfall, high vitamin C"
Red soil,Malnad,Kiwi,Allison,7,"Female variety, suitable for hill zones, good pollinator"
Lateritic,Coastal,Passion Fruit,Purple,9,"Aromatic juice, suitable for 1500-2000mm rainfall, climbing vine"
Lateritic,Coastal,Passion Fruit,Yellow,8,"Large fruit, suitable for processing, good yield"
