name,scientific_name,varieties,suitable_soil_types,growing_season,water_requirement_mm,avg_yield_q_per_ha,min_temp_c,max_temp_c,n_requirement_kg_per_ha,p_requirement_kg_per_ha,k_requirement_kg_per_ha,ph_range,cultivation_practices
"Papaya","Carica papaya","Co-1, Co-2, Red Lady","Sandy loam, Well-drained","Annual",1200,400,22,32,200,100,300,"6.0-7.0","Tropical fruit, year-round production"
"Banana","Musa paradisiaca","Robusta, Rasthali, Ney Poovan","Alluvial, Red loam","Perennial",1800,300,26,30,200,50,300,"6.0-7.5","Tropical fruit, high water requirement"
"Mango","Mangifera indica","Alphonso, Dasheri, Langra","Red soil, Laterite","Perennial",1000,100,24,32,500,200,400,"5.5-7.5","King of fruits, deep-rooted tree"
"Sapota","Manilkara zapota","Kalipatti, Cricket Ball, Oval","Red soil, Sandy loam","Perennial",800,150,20,32,300,150,200,"6.0-8.0","Evergreen fruit tree, drought tolerant"
"Guava","Psidium guajava","L-49, Sardar, Allahabad Safeda","Red soil, Sandy loam","Perennial",1000,200,23,28,400,200,300,"6.0-7.5","Hardy fruit tree, vitamin C rich"
"Pomegranate","Punica granatum","Ganesh, Arakta, Bhagwa","Black soil, Red soil","Perennial",800,120,15,35,300,150,200,"6.5-7.5","Arid fruit crop, antioxidant rich"
"Grapes","Vitis vinifera","Bangalore Blue, Anab-e-Shahi, Thompson Seedless","Black soil, Red soil","Perennial",600,200,15,25,150,75,150,"6.5-7.5","Temperate fruit, pruning essential"
"Citrus","Citrus species","Coorg Mandarin, Mosambi, Kagzi Lime","Red soil, Sandy loam","Perennial",1200,150,18,32,400,200,300,"6.0-7.5","Vitamin C rich citrus fruits"
"Cashew","Anacardium occidentale","Ullal-1, Ullal-2, Vengurla-4","Coastal sandy, Red laterite","Perennial",1000,8,20,32,100,50,100,"5.0-6.5","Coastal tree crop, nut production"
"Jackfruit","Artocarpus heterophyllus","Local varieties, Improved selections","Red soil, Laterite","Perennial",1500,150,22,32,300,150,200,"6.0-7.5","Large tropical fruit, multipurpose tree"
"Custard Apple","Annona squamosa","Arka Sahan, Red Sitaphal, Local","Red soil, Black soil","Perennial",700,80,20,35,200,100,150,"6.5-7.5","Semi-arid fruit crop"
"Fig","Ficus carica","Poona Fig, Dinkar, Brown Turkey","Red soil, Well-drained","Perennial",800,60,15,32,150,75,100,"6.0-7.5","Deciduous fruit tree"
